19999610,No.3　982
20018690,No.5　1282
20024328,No.6　1313
20030493,No.7　1228
20055277,No.9　1157
20089241,No.11　901
20072531,No.12　983
20096222,No.13　1062
20106363,No.14　1120
20135272,No.17　1315
20141920,No.18　1333
20192508,No.22　1316
20204996,No.23　820
20243316,No.28　1200
20280267,No.31　1334
20296547,No.32　570
20311873,No.34　1061
20325066,No.35　1159
20335469,No.36　1335
20344394,No.37　1199
20365266,No.39　1201
20375533,No.40　1281
20381075,No.41　529
20395583,No.42　1229
20415963,No.44　1119
20428239,No.45　1039
20446532,No.47　1336
20455047,No.48　1279
20473908,No.50　1314
20487290,No.51　479
